,qn,fal,run,q1,q2,h,h_value
371,3.0,2.0,1.0,2.0,3.0,h_cd,0.9015891145419664
372,3.0,2.0,2.0,2.0,3.0,h_cd,-0.937589339098699
373,3.0,2.0,3.0,2.0,3.0,h_cd,-0.9511274292288585
374,3.0,2.0,4.0,2.0,3.0,h_cd,-0.7250208093171899
375,3.0,2.0,5.0,2.0,3.0,h_cd,0.43812599044160294
376,3.0,2.0,6.0,2.0,3.0,h_cd,0.3988873200781465
377,3.0,2.0,7.0,2.0,3.0,h_cd,-1.3896579583149447
378,3.0,2.0,8.0,2.0,3.0,h_cd,-0.9155460210495301
379,3.0,2.0,9.0,2.0,3.0,h_cd,-0.810358507971265
380,4.0,2.0,0.0,2.0,4.0,h_cd,-0.7320930304037506
381,4.0,2.0,1.0,2.0,4.0,h_cd,0.8008414535524635
382,4.0,2.0,2.0,2.0,4.0,h_cd,-0.03598689129846502
383,4.0,2.0,3.0,2.0,4.0,h_cd,-0.5862896388018117
384,4.0,2.0,4.0,2.0,4.0,h_cd,-1.3090956664389186
