,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder
136,15.0,28464829.0,1.0,1.0,3.0,4.0,0.3,0.06,0.5,,1.0,0.44,0.0,0.6044361534247995,-0.3606966196727721,0.06748988805493583,0.7071067811865476,2301
137,15.0,28464829.0,2.0,4.0,2.0,4.0,0.53,0.53,0.5,,2.0,0.030000000000000027,0.0,0.5154727226062451,0.0,0.19518185729288895,0.834381156805811,1302
138,15.0,28464829.0,3.0,2.0,1.0,4.0,0.51,0.5,0.5,,1.0,0.0,0.0,0.5678901725524619,0.2928932188134524,0.30284371264966026,0.7071067811865476,0312
139,15.0,28464829.0,4.0,5.0,1.0,2.0,0.75,0.21,0.8,,1.0,0.5900000000000001,0.0,0.17378253570430957,-0.24635312115912988,0.3303176803916731,0.8944271909999159,0123
140,15.0,28464829.0,5.0,3.0,2.0,3.0,0.49,0.09,0.1,,2.0,0.39,0.0,,-0.565685424949238,0.12345848879323768,0.866491004867929,1203
141,15.0,28464829.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
142,15.0,28464829.0,7.0,7.0,1.0,3.0,0.89,0.0,0.5,,2.0,0.39,0.0,,-1.3341664064126333,1.224744871391589,0.10942153502104435,0213
144,16.0,73553815.0,0.0,0.0,1.0,2.0,0.21,0.63,0.35,,1.0,0.13999999999999999,0.0,0.604125978400161,0.5308892377222209,0.05646609153082438,0.5916079783099616,0123
145,16.0,73553815.0,1.0,1.0,3.0,4.0,0.4,0.64,0.4,,1.0,0.0,0.0,0.5314643501669153,0.49891531786480015,0.26197165896624,0.6324555320336759,2301
146,16.0,73553815.0,2.0,3.0,2.0,3.0,0.68,0.67,0.67,,2.0,0.010000000000000009,0.0,0.33369588000060496,-0.008606688690037556,0.26016099759676004,0.9060293813723004,1203
147,16.0,73553815.0,3.0,2.0,1.0,4.0,0.84,0.35,0.36,,1.0,0.010000000000000009,0.0,0.31522975662011543,0.23666002653407558,0.696148139681572,0.6,0312
148,16.0,73553815.0,4.0,5.0,1.0,2.0,0.35,0.65,0.35,,1.0,0.0,0.0,0.5376088261778919,0.5485674467891765,0.24505204822411397,0.5916079783099616,0123
149,16.0,73553815.0,5.0,4.0,2.0,4.0,0.72,0.31,0.59,,2.0,0.13,0.0,0.32135149132143825,-0.4125992125988188,0.543012682163826,0.656987317836174,1302
150,16.0,73553815.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
151,16.0,73553815.0,7.0,7.0,1.0,3.0,0.39,0.68,0.34,,2.0,0.34,0.0,,0.2830142923362755,-0.15623988513285236,1.0394159717656373,0213
153,17.0,69882794.0,0.0,0.0,1.0,2.0,0.49,0.66,0.45,,1.0,-0.03999999999999998,0.0,0.4685984706660221,0.47809213605766876,0.31912910041122966,0.6708203932499369,0123
154,17.0,69882794.0,1.0,1.0,3.0,4.0,0.64,0.55,0.61,,1.0,0.05999999999999994,0.0,0.44220985521780626,0.2677838805794862,0.3503458823078106,0.7810249675906654,2301
155,17.0,69882794.0,2.0,4.0,2.0,4.0,0.66,0.61,0.67,,2.0,-0.010000000000000009,0.0,0.4489209659111172,-0.04437642758887961,0.3132085861570566,0.8357039431505491,1302
156,17.0,69882794.0,3.0,3.0,2.0,3.0,0.67,0.74,0.66,,2.0,0.07999999999999996,0.0,0.15840999655762206,0.05896881578062119,0.1905722218873851,0.9670114683916373,1203
157,17.0,69882794.0,4.0,5.0,1.0,2.0,0.71,0.63,0.84,,1.0,0.20999999999999996,0.0,0.2046437259581568,0.20598207704101446,0.2751223897901304,0.916515138991168,0123
158,17.0,69882794.0,5.0,2.0,1.0,4.0,0.81,0.71,0.45,,1.0,-0.25999999999999995,0.0,,0.5208171355313614,0.6019718128858486,0.6708203932499369,0312
159,17.0,69882794.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
160,17.0,69882794.0,7.0,7.0,1.0,3.0,0.67,0.42,0.38,,2.0,0.29000000000000004,0.0,,-0.24106855128785465,0.15119268621196313,1.0063910040670594,0213
162,18.0,39465173.0,0.0,0.0,1.0,2.0,0.11,0.94,0.13,,1.0,0.020000000000000004,0.0,,1.01057579253381,0.10848644843594402,0.36055512754639896,0123
163,18.0,39465173.0,1.0,1.0,3.0,4.0,0.76,0.27,0.27,,1.0,0.0,0.0,0.4182400195165794,0.2152316805642902,0.713267558323132,0.5196152422706632,2301
164,18.0,39465173.0,2.0,5.0,1.0,2.0,0.35,0.68,0.54,,1.0,0.19000000000000006,0.0,0.5133974238009339,0.43134345613410674,0.10181310369912211,0.7348469228349535,0123
165,18.0,39465173.0,3.0,4.0,2.0,4.0,0.61,0.63,0.76,,2.0,-0.13,0.0,0.5791030878682635,0.017961114313456372,0.3874696710219676,0.7170664306967587,1302
166,18.0,39465173.0,4.0,2.0,1.0,4.0,0.39,0.71,0.19,,1.0,-0.2,0.0,0.19692784276087205,0.755747634427231,0.44728619227871735,0.43588989435406733,0312
167,18.0,39465173.0,5.0,3.0,2.0,3.0,0.69,0.51,0.75,,2.0,-0.06000000000000005,0.0,0.5137168484276781,-0.16478351861086526,0.49004950616379217,0.6846845062832809,1203
168,18.0,39465173.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
169,18.0,39465173.0,7.0,7.0,1.0,3.0,0.65,0.14,0.49,,2.0,0.16000000000000003,0.0,,-0.6110251628862199,0.683285303085296,0.45689012201384216,0213
171,19.0,69534323.0,0.0,0.0,1.0,2.0,0.4,0.57,0.47,,1.0,0.06999999999999995,0.0,0.583390083981618,0.3821423651630267,0.20886173095981142,0.6855654600401044,0123
172,19.0,69534323.0,1.0,1.0,3.0,4.0,0.4,0.4,0.16,,1.0,-0.24000000000000002,0.0,0.5925230000597997,0.49442719099991583,0.49442719099991583,0.4,2301
173,19.0,69534323.0,2.0,5.0,1.0,2.0,0.23,0.57,0.31,,1.0,0.07999999999999999,0.0,0.6435817114835661,0.5109313889201289,0.1214565620295246,0.5567764362830022,0123
174,19.0,69534323.0,3.0,2.0,1.0,4.0,0.26,0.25,0.35,,1.0,0.09999999999999998,0.0,0.7873304178311271,0.11549880287658598,0.12950227678283632,0.5916079783099616,0312
175,19.0,69534323.0,4.0,4.0,2.0,4.0,0.4,0.43,0.42,,2.0,0.010000000000000009,0.0,0.686897693384666,0.032934658549654494,0.1951353664826121,0.6992918245173039,1302
