,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder,check_pA,check_pA_B,check_pB
90,10.0,15834726.0,0.0,0.0,1.0,2.0,0.47,0.99,0.63,,1.0,0.16000000000000006,0.0,0.09511574750130508,0.6118991063933621,-0.11154010875853984,0.7772332504638857,123.0,0.46992492027861055,0.6301273165664304,0.9998602251563085
91,10.0,15834726.0,1.0,1.0,3.0,4.0,0.8,0.54,0.64,,1.0,0.09999999999999998,0.0,0.5517077921615312,-0.07366440767222016,0.13657265087246484,0.8194755825493377,2301.0,0.7999871016676244,0.6399929910439771,0.5400520397474703
92,10.0,15834726.0,2.0,3.0,2.0,3.0,0.7,0.69,0.69,,2.0,0.010000000000000007,0.0,0.553137954552622,-0.00781573022455114,-1.6120529122523114e-05,0.8330531264982632,1203.0,0.700021956581765,0.6899933593034148,0.6900141839573206
93,10.0,15834726.0,3.0,2.0,1.0,4.0,0.61,0.72,0.59,,1.0,-0.020000000000000014,0.0,0.5621023857199755,0.10603153326107011,0.015460852970315762,0.8200974158112009,312.0,0.609978753814075,0.590036352713112,0.7199857804322651
94,10.0,15834726.0,4.0,4.0,2.0,4.0,0.52,0.93,0.92,,2.0,0.010000000000000007,0.0,0.36292027916048747,0.4179579336135268,-0.019826131345104733,0.8325906859283195,1302.0,0.5200004557092335,0.9199999931561752,0.9299984460034724
95,10.0,15834726.0,5.0,5.0,1.0,2.0,0.76,0.73,0.77,,1.0,0.040000000000000036,0.0,0.5108453464454508,-0.03288979215288704,-0.008493313022074256,0.859001324663246,123.0,0.7599913655244896,0.7700095593591265,0.7300462641109915
96,10.0,15834726.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
97,10.0,15834726.0,7.0,7.0,1.0,3.0,0.79,0.61,0.64,,2.0,0.15000000000000002,0.0,0.5502852929728518,-0.11348622318909501,0.020221151598750424,0.8269813675594708,213.0,0.7900012494263834,0.6400016153123131,0.6099976480748937
99,11.0,38339051.0,0.0,0.0,1.0,2.0,0.0,1.0,0.15,,1.0,0.15,0.0,0.2700904115259959,0.84677457790962,-0.3071373677816368,0.3401338399857704,123.0,0.0008720768585788209,0.1499851578988963,0.9990266977228793
100,11.0,38339051.0,1.0,1.0,3.0,4.0,0.0,0.53,0.21,,1.0,0.21,0.0,0.8498426765979501,0.1807682888249886,-0.34837439202564885,0.35174754068006414,2301.0,1.0712153610724745e-05,0.20999997749192806,0.530000051673595
101,11.0,38339051.0,2.0,2.0,1.0,4.0,0.66,0.07,0.78,,1.0,0.71,0.0,-0.43410640772691306,-0.29614182771276903,0.8298616925969361,0.18756656499124197,312.0,0.6600007955991507,0.7800011468160216,0.06999898671967668
